date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,-1485,14548,12809,12809,0.05,0.05,,3579,,,,2013年01月01日至2013年03月31日,16290,29099,16953,29762,18733,1136,758257,821231,62974,62974,44241,,,0.05,0.05,44241,16290,19869,,,11927,-663,-663
2013-08-12,2,2013,,-18020.0,-3130,10869,-13685,4335,0.01,0.01,,3983,,,,2013年04月01日至2013年06月30日,2383,-11302,2916,-10769,9154,-2788,702237,759644,57407,57407,48253,,,0.01,0.01,48253,2383,6366,,,10527,-533,-533
2013-11-12,3,2013,,0.0,-988,3295,-6472,-6472,0.05,0.05,,4758,,-62.0,,2013年07月01日至2013年09月30日,17092,10620,18586,12114,29700,-7850,1071999,1143836,71837,71837,42137,,,0.05,0.05,42137,17092,21850,,,10095,-1494,-1494
2014-03-27,4,2013,,5374.0,-18894,49834,21141,15707,0.27,0.27,,31108,-1496.0,323.0,,2013年01月01日至2013年12月31日,88857,109998,95568,116709,197056,-77091,4085416,4399069,313653,313653,116597,,1875.0,0.27,0.27,116597,88857,119965,,319.0,108354,-6711,-6711
2014-05-12,1,2014,,,-2161,3488,5917,6109,0.06,0.06,,7878,-192.0,-73.0,,2014年01月01日至2014年03月31日,18958,24875,19312,25229,52243,-25407,1302083,1383250,81167,81167,28924,,,0.06,0.06,28924,18958,26836,,,26661,-354,-354
2014-08-13,2,2014,,5782.0,-7799,19555,-4151,-9190,-0.52,-0.52,,-32742,-743.0,-77.0,,2014年第2季,-181165,-185316,-180509,-184660,-198025,-15882,1467051,1295699,-171352,-171352,26673,,,-0.52,-0.52,26673,-181165,-213907,,,27561,-656,-656
2014-11-13,3,2014,,-3460.0,7770,56468,7771,10027,-0.04,-0.04,,-4866,1204.0,-85.0,,2014年第3季,-11691,-3920,-13742,-5971,-51394,34837,1449705,1426712,-22993,-22993,28401,,,-0.04,-0.04,28401,-11691,-16557,,,29316,2051,2051
2015-03-27,4,2014,,-5244.0,-16326,63145,16504,24746,-0.46,-0.46,,-25867,1510.0,-370.0,,2014年度,-158533,-142029,-158617,-142113,-172185,-12215,5831655,5846800,15145,15145,187330,,-5431.0,-0.46,-0.46,187330,-158533,-184400,,-923.0,58664,84,84
2015-05-11,1,2015,,,-809,7087,-5641,-5195,0.08,0.08,-5641.0,5882,,-230.0,-446.0,2015年01月01日至2015年03月31日,28365,22724,29291,23650,40753,-6506,1655455,1734500,79045,79045,38292,,,0.08,0.08,38292,28365,34247,,,12554,-926,-926
2015-08-12,2,2015,,-13672.0,-1433,17364,-21159,-6879,0.17,0.17,-21159.0,11326,,-85.0,-608.0,2015年第2季,60138,38979,60452,39293,68444,3020,1689331,1797554,108223,108223,39779,,,0.17,0.17,39779,60138,71464,,,12826,-314,-314
2015-11-10,3,2015,,0.0,-12836,8044,29129,27502,-0.1,-0.1,29129.0,-7146,,-88.0,1627.0,2015年第3季,-33870,-4741,-33566,-4437,-25497,-15519,1462773,1473325,10552,10552,36049,,,-0.1,-0.1,36049,-33870,-41016,,,10639,-304,-304
2016-03-28,4,2015,-4826.0,-669.0,-48493,47331,3189,9080,0.24,0.24,8015.0,2439,,-450.0,-396.0,2015年度,80787,83976,83147,86336,130060,-46834,6856042,7141468,285426,285426,155366,-5814.0,,0.24,0.24,155366,80787,83226,-988.0,,45222,-2360,-2360
2016-05-10,1,2016,,,-5720,3519,-8086,-7429,0.02,0.02,-8086.0,1378,,-14.0,-657.0,2016年01月01日至2016年03月31日,4813,-3273,5261,-2825,17766,-11575,839577,894657,55080,55080,37314,,,0.02,0.02,37314,4813,6191,,,9360,-448,-448
2016-08-04,2,2016,,-13466.0,-2266,1558,-17658,-3204,0.06,0.06,-17658.0,8812,,-13.0,-988.0,2016年第2季,18747,1089,20856,3198,36962,-9403,1164801,1234117,69316,69316,32354,,,0.06,0.06,32354,18747,27559,,,8682,-2109,-2109
2016-11-09,3,2016,,0.0,-3051,8548,-15677,-14533,0.09,0.09,-15677.0,6444,,-9.0,-1144.0,2016年第3季,30210,14533,30955,15278,38885,-2231,1091380,1163542,72162,72162,33277,,,0.09,0.09,33277,30210,36654,,,7719,-745,-745
