date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,-72229,23,,21142,21142,-0.04,,-9642,81647,2013年01月01日至2013年03月31日,-36645,-15503,-21339,-197,32574,-78861,229827,445847,216020,216020,183446,,,-0.04,101799,-36645,-46287,,,6655,-15306,-15306
2013-08-09,2,2013,,-4397,3558,-8763.0,42782,51545,0.6,,38576,76312,2013年04月01日至2013年06月30日,350067,392849,371377,414159,398640,-9997,598702,1161550,562848,562848,164208,,,0.6,87896,350067,388643,,,9158,-21310,-21310
2013-11-08,3,2013,,12653,386,3763.0,-18374,-22137,0.8,,21760,129501,2013年07月01日至2013年09月30日,466268,447894,490790,472416,491338,-3310,742112,1487324,745212,745212,253874,,,0.8,124373,466268,488028,,,16349,-24522,-24522
2014-03-25,4,2013,,-108977,9645,179.0,92604,93482,4.03,,316850,543413,2013年01月01日至2013年12月31日,2427688,2520292,2483567,2576267,2891595,-147057,3941153,7797418,3856265,3856265,964670,,-1057.0,4.03,421257,2427688,2744538,,,47725,-55879,-55975
2014-05-06,1,2014,,-55260,19638,,-1967,-1967,-0.06,,20863,181856,2014年01月01日至2014年03月31日,-71643,-73610,-36262,-38229,5437,-56217,273275,592759,319484,319484,314047,,,-0.06,132191,-71643,-50780,,,20595,-35381,-35381
2014-08-08,2,2014,,-4126,8867,10075.0,-49189,-59264,0.66,,98951,166777,2014年第2季,503827,454638,529118,479929,616949,-14171,998521,1903710,905189,905189,288240,,,0.66,121463,503827,602778,,,18912,-25291,-25291
2014-11-06,3,2014,,38276,19915,,-120654,-145367,0.49,,100244,71805,2014年第3季,360847,240193,392770,272116,431660,29431,698088,1338620,640532,640532,208872,,,0.49,137067,360847,461091,-24713.0,,28760,-31923,-31923
2015-03-27,4,2014,,74888,106110,468.0,119303,121587,1.37,,285523,653257,2014年度,925793,1045096,1095060,1214301,1123525,87791,2670716,5051696,2380980,2380980,1257455,,-2752.0,1.37,604198,925793,1211316,,,93207,-169267,-169205
2015-05-12,1,2015,,-38387,26459,,-31571,-31571,-0.12,-31571,-6888,133642,2015年01月01日至2015年03月31日,-160442,-192013,-98524,-130095,-129344,-37986,173856,343338,169482,169482,298826,,,-0.12,165184,-160442,-167330,,,26058,-61918,-61918
2015-08-11,2,2015,,-67297,40625,,-81088,-104163,-0.18,-81088.0,32413,115986,2015年第2季,-208987,-290075,-159717,-240805,-94112,-82462,232518,423070,190552,190552,284664,,,-0.18,168678,-208987,-176574,,-23075.0,55790,-49270,-49270
2015-11-10,3,2015,,162869,31251,,140686,199998,0.08,140686.0,59688,103036,2015年第3季,-53721,86965,72869,213555,-128098,134065,455990,724637,268647,268647,396745,,,0.08,293709,-53721,5967,,59312.0,60055,-126590,-126590
2016-03-25,4,2015,7102.0,-117155,169463,,-129172,-135067,0.25,-136274.0,60133,493445,2015年度,-23695,-152867,222593,92560,426941,-390503,3212285,4825644,1613359,1613359,1186418,7102.0,,0.25,692973,-23695,36438,,1207.0,442811,-246288,-245427
2016-05-13,1,2016,,93263,53039,,-48732,-48732,0.27,-48732.0,54032,63127,2016年01月01日至2016年03月31日,227352,178620,240188,191456,331314,-49930,1450882,2041122,590240,590240,258926,,,0.27,195799,227352,281384,,,196232,-12836,-12836
2016-08-11,2,2016,,-201321,50734,,-91882,-112398,-0.38,-91882.0,-20064,69537,2016年第2季,-378597,-470479,-332393,-424275,-162108,-236553,705729,811340,105611,105611,267719,,,-0.38,198182,-378597,-398661,,-20516.0,85966,-46204,-46204
2016-11-09,3,2016,,-150967,18851,,-146761,-176820,0.01,-146761.0,-23115,176463,2016年第3季,-17683,-164444,10925,-135836,169899,-210697,711152,1161144,449992,449992,280093,,,0.01,103630,-17683,-40798,,-30059.0,78581,-28608,-28608
