date,season,year,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額
2013-05-09,1,2013,1565,1548,229,1565,,0.66,,1707,9714,2013年01月01日至2013年03月31日,88905,90470,88905,90470,93346,-2734,276856,398158,121302,121302,27956,0.59,18242,88905,,90612,4511
2013-08-09,2,2013,-1524,-421,2441,-1524,,-0.14,,58370,9008,2013年04月01日至2013年06月30日,-22728,-24252,-22728,-24252,39626,-3984,247788,319645,71857,71857,32231,0.0,23223,-22728,,35642,6004
2013-11-12,3,2013,1408,511,110,1408,,-0.09,,1469,16616,2013年07月01日至2013年09月30日,-13920,-12512,-13920,-12512,-7900,-4551,108131,141691,33560,33560,41460,0.0,24844,-13920,,-12451,5172
2014-03-25,4,2013,2189,1936,3587,2189,,0.23,,63075,43844,2013年01月01日至2013年12月31日,38337,40526,38337,40526,116209,-14797,710402,960491,250089,250089,133880,0.23,90036,38337,,101412,20320
2014-05-12,1,2014,884,-365,7198,884,,-0.23,,671,24204,2014年01月01日至2014年03月31日,-37400,-36516,-37400,-36516,-36961,232,56838,76324,19486,19486,56447,-0.23,32243,-37400,,-36729,6601
2014-08-05,2,2014,2202,-321,928,2202,,5.34,,28079,122960,2014年第2季,876908,879110,876908,879110,906795,-1808,1173756,2259353,1085597,1085597,178802,4.75,55842,876908,,904987,2415
2014-11-10,3,2014,1122,8082,164,1122,,3.45,,19758,93038,2014年第3季,582592,583714,582592,583714,601224,1126,925462,1670620,745158,745158,143934,3.08,50896,582592,,602350,7120
2015-03-27,4,2014,1496,8578,9326,1496,,9.02,,51302,271459,2014年度,1523417,1524913,1523417,1524913,1581716,-6997,2775288,4812063,2036775,2036775,455059,8.06,183600,1523417,,1574719,24901
2015-05-12,1,2015,-135,-68,397,-135,,1.14,-135.0,14637,23628,2015年01月01日至2015年03月31日,193029,192894,193029,192894,218033,-10367,1041999,1327784,285785,285785,67752,1.02,44124,193029,1.14,207666,10696
2015-08-10,2,2015,222,294,2888,222,,0.24,222.0,3361,13555,2015年第2季,41414,41636,41414,41636,53559,-8784,418117,522004,103887,103887,50328,0.22,36773,41414,0.24,44775,11966
2015-11-09,3,2015,558,263,8013,558,,-0.04,558.0,977,9053,2015年第3季,-7236,-6678,-7236,-6678,-4184,-2075,86148,127856,41708,41708,45892,0.0,36839,-7236,-0.04,-6259,10351
2016-03-22,4,2015,-74,11653,32071,731,805.0,3.66,731.0,42151,214321,2015年度,715135,715866,715135,715866,757945,-659,3482001,4633035,1151034,1151034,393089,2.75,178768,715135,,757286,44383
2016-05-11,1,2016,496,7912,15393,-7506,-8002.0,0.85,-7506.0,5260,64429,2016年01月01日至2016年03月31日,168635,161129,168635,161129,161190,12705,832283,1113577,281294,281294,120104,0.65,55675,168635,0.85,173895,10600
2016-08-09,2,2016,-130,925,1649,430,560.0,0.64,430.0,7836,25141,2016年第2季,126866,127296,126866,127296,145275,-10573,393661,618275,224614,224614,79339,0.5,54198,126866,0.64,134702,13147
2016-11-07,3,2016,16,-2702,663,-11741,-11757.0,0.13,-11741.0,5995,21147,2016年第3季,26725,14984,26725,14984,48189,-15469,268083,393191,125108,125108,76919,0.11,55772,26725,0.13,32720,13430
