date,season,year,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2014-04-15,4,2013,-6364,8999,31263,31263,4.97,4.97,,75227,121850,2013年01月01日至2013年12月31日,121931,153194,117195,148458,209389,-12231,907074,1524315,617241,617241,407852,25551,260451,121931,197158,14866,4736,4736
2014-08-12,2,2014,-704,3857,-12989,-12989,2.01,2.01,,31625,31984,2014年第2季,61757,48768,61757,48768,93506,-124,292106,495464,203358,203358,109852,4567,73301,61757,93382,3277,0,0
2014-11-08,3,2014,-2305,2587,14776,14776,1.67,1.67,,30644,29905,2014年第3季,51316,66092,51316,66092,84901,-2941,297441,496376,198935,198935,114034,9209,74920,51316,81960,3223,0,0
2015-03-15,4,2014,-6412,12008,27658,27658,6.97,6.97,,117913,124380,2014年度,215156,242814,215156,242814,338868,-5799,1164394,1959789,795395,795395,456527,38697,293450,215156,333069,11395,0,0
2015-05-12,1,2015,-421,559,-11542,-11542,1.32,1.32,-11542,9949,32333,2015年01月01日至2015年03月31日,45996,34454,45996,34454,59167,-3222,291625,478890,187265,187265,128098,13350,82415,45996,55945,3360,,
2015-08-07,2,2015,-2448,2987,-17757,-17757,1.46,1.46,-17757,22791,36715,2015年第2季,53502,35745,53502,35745,76214,79,312347,515866,203519,203519,127305,13403,77187,53502,76293,460,,
2015-11-11,3,2015,3313,2381,47038,47038,1.58,1.58,47038,23618,35837,2015年第3季,57844,104882,57844,104882,76245,5217,306075,522891,216816,216816,140571,22000,82734,57844,81462,477,,
2016-03-28,4,2015,2256,9765,-32049,-32049,6.30,6.30,-32049,86469,147026,2015年度,230954,198905,230954,198905,310422,7001,1269083,2124530,855447,855447,545025,78537,319462,230954,317423,5020,,
2016-05-10,1,2016,-704,3701,-3980,-3980,1.29,1.29,-3980,26293,36848,2016年01月01日至2016年03月31日,47110,43130,47110,43130,70756,2647,349630,571384,221754,221754,150998,31386,82764,47110,73403,350,,
2016-08-10,2,2016,1077,3675,-36433,-36433,1.90,1.90,-36433,24124,39434,2016年第2季,72965,36532,72965,36532,92560,4529,368609,612603,243994,243994,151434,24569,87431,72965,97089,223,,
2016-11-08,3,2016,-3667,14317,-44966,-44966,1.93,1.93,-44966,34641,39201,2016年第3季,74116,29150,74116,29150,100081,8676,392192,638259,246067,246067,145986,23266,83519,74116,108757,1974,,
