date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,銷貨收入淨額
2013-05-10,1,2013,,-4733,46402,3748,34073,26721.0,38806,0.03,,10784,,21873,2013年01月01日至2013年03月31日,13334,47407,13334,47407,689,23429,1840463,1937215,96752,96752,96063,16289,,,0.03,57901,13334,24118,,,26721,1937215
2013-08-07,2,2013,,24901,38525,3667,39791,33025.0,17483,0.18,,26065,,16101,2013年04月01日至2013年06月30日,92284,132075,92284,132075,109182,9167,2025382,2226079,200697,200697,91515,15887,,,0.18,59527,92284,118349,,2593.0,33025,2226079
2013-11-08,3,2013,,-3527,35167,1758,-17296,34477,-13769,0.29,,34917,,19353,2013年07月01日至2013年09月30日,144793,127497,144793,127497,177262,2448,2133881,2406248,272367,272367,95105,14598,,,0.29,61154,144793,179710,,,34477,2406248
2014-03-25,4,2013,,14625,284891,9551,71823,129236.0,66325,0.65,,129950,,72097,2013年01月01日至2013年12月31日,322378,394201,322378,394201,287122,165206,8207030,8870585,663555,663555,376433,65218,,-10997.0,0.64,239118,322378,452328,,-1870.0,129236,8870585
2014-05-09,1,2014,,16624,41245,2450,14057,35084.0,-2567,0.2,,21508,,22530,2014年01月01日至2014年03月31日,98451,112508,98451,112508,111348,8611,2014638,2227996,213358,213358,102010,18902,,,0.2,60578,98451,119959,,,35084,2227996
2014-08-08,2,2014,,64531,-19796,3207,39481,35082.0,-25050,0.53,,41452,,18232,2014年第2季,264085,303566,264085,303566,357208,-51671,2177140,2633187,456047,456047,98839,16274,,,0.53,64333,264085,305537,,0.0,35082,2633187
2014-11-10,3,2014,,-10629,47043,2843,18841,33152.0,29470,0.63,,42386,,22054,2014年第3季,311163,330004,311163,330004,336815,16734,2284532,2728044,443512,443512,106697,16794,,,0.62,67849,311163,353549,,,33152,2728044
2015-03-16,4,2014,,106805,207231,13794,128458,135490.0,45369,1.76,,150338,-219.0,82804,2014年度,875940,1004398,875940,1004398,940962,85316,8649413,10015652,1366239,1366239,425277,68546,,-28574.0,1.74,273927,875940,1026278,,-4858.0,135490,10015652
2015-04-24,1,2015,,45350,-22882,3263,30039,28062.0,-15311,-0.09,30039.0,400,2045.0,21656,2015年01月01日至2015年03月31日,-46694,-16655,-46694,-16655,-658,-45636,1821368,1917062,95694,95694,96352,12262,,,-0.09,62434,-46694,-46294,,,28062,1917062
2015-07-24,2,2015,,-36610,-13896,5727,-49747,,-13137,-0.09,-49747.0,7341,-407.0,19040,2015年第2季,-45022,-94769,-45022,-94769,6096,-43777,1797947,1910692,112745,112745,106649,14220,,,-0.09,73389,-45022,-37681,,,35201,1910692
2015-10-30,3,2015,,5282,194883,11739,57275,29485.0,51993,0.31,57275.0,31442,472.0,18012,2015年第3季,150736,208011,150736,208011,4569,177609,1839928,1955995,116067,116067,111498,17853,,,0.29,75633,150736,182178,,,29485,1955995
2016-03-18,4,2015,-24619.0,125127,178920,24245,70609,121344.0,-29899,0.29,95228.0,52858,2139.0,77807,2015年度,143530,214139,143530,214139,112428,83960,7351823,7913595,561772,561772,449344,71649,-29662.0,,0.29,299888,143530,196388,-5043.0,,121344,7913595
2016-04-22,1,2016,,122191,-4918,4802,121671,26624.0,-520,-0.16,121671.0,-660,-793.0,22295,2016年01月01日至2016年03月31日,-75210,46461,-75210,46461,-48337,-27533,1798984,1865063,66079,66079,114416,17165,,,-0.16,74956,-75210,-75870,,,26624,1865063
2016-07-27,2,2016,,44688,45267,6341,8538,,-36150,0.19,8538.0,9815,-1232.0,19807,2016年第2季,92436,100974,92436,100974,76999,25252,1847337,2034823,187486,187486,110487,27771,,,0.19,62909,92436,102251,,,25124,2034823
2016-10-25,3,2016,,144872,-50037,18006,102409,23851.0,-42463,0.22,102409.0,23737,-887.0,22089,2016年第3季,105878,208287,105878,208287,186384,-56769,1937882,2236522,298640,298640,112256,23944,,,0.22,66223,105878,129615,,,23851,2236522
