date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅
2013-05-13,1,2013,,13040,15245,4990,13040,0.5,0.5,,15938,13609,2013年01月01日至2013年03月31日,,89545,102585,89545,102585,85248,20235,712010,862165,150155,150155,64907,15938.0,,,0.5,0.5,51298,89545,105483,,
2013-08-12,2,2013,,-9402,9341,5337,-9402,0.48,,,22408,16770,2013年04月01日至2013年06月30日,,84619,75217,84619,75217,92349,14678,556117,712859,156742,156742,64393,,,,0.48,,47623,84619,107027,,
2013-11-04,3,2013,,-2130,14807,11121,-2130,0.04,,,-3069,14202,2013年07月01日至2013年09月30日,,7731,5601,7731,5601,-21266,25928,416618,442822,26204,26204,47470,,,,0.04,,33268,7731,4662,,
2014-03-19,4,2013,,5331,56872,27666,17244,1.21,,,39724,76035,2013年01月01日至2013年12月31日,,214649,231893,214649,231893,169835,84538,2282890,2683713,400823,400823,230988,,,14354.0,1.2,,154953,214649,254373,,2441.0
2014-05-12,1,2014,,8898,14367,6153,8898,0.58,0.58,,18806,19708,2014年01月01日至2014年03月31日,,103258,112156,103258,112156,101544,20520,774589,957013,182424,182424,80880,18806,,,0.58,0.58,61172,103258,122064,,
2014-08-08,2,2014,,-538,880,6292,-538,0.44,,,16018,20357,2014年第2季,,79122,78584,79122,78584,87968,7172,549479,698717,149238,149238,61270,,,,0.44,,40913,79122,95140,,
2014-11-07,3,2014,,2353,-73232,13683,2353,-0.09,,,-2914,20156,2014年第3季,,-16826,-14473,-16826,-14473,39809,-59549,407705,491659,83954,83954,44145,,,,-0.09,,23989,-16826,-19740,,
2015-03-20,4,2014,,14274,-50563,35515,8588,1.03,,,36185,83590,2014年度,,182885,191473,182885,191473,234118,-15048,2321213,2789037,467824,467824,233706,,,-6851.0,1.03,,150116,182885,219070,,-1165.0
2015-05-11,1,2015,,4040,10215,6681,4040,0.59,0.59,4040.0,20783,20595,2015年01月01日至2015年03月31日,20783.0,105299,109339,105299,109339,109186,16896,599997,791690,191693,191693,82507,,,,0.59,0.59,61912,105299,126082,,
2015-08-12,2,2015,,-26320,-8628,38401,-26320,0.49,,-26320.0,19458,20604,2015年第2季,,87401,61081,87401,61081,77086,29773,403176,529739,126563,126563,49477,,,,0.49,,28873,87401,106859,,
2015-11-06,3,2015,,-23650,-3595,13466,-23650,0.06,,-23650.0,2462,19736,2015年第3季,,10818,-12832,10818,-12832,3409,9871,298573,352509,53936,53936,50527,,,,0.06,,30791,10818,13280,,
2016-03-23,4,2015,4562.0,-45949,-4387,65181,-41387,1.38,,-45949.0,51398,82464,2015年度,,245371,203984,245371,203984,235975,60794,1644594,2116337,471743,471743,235768,,5496.0,,1.38,,153304,245371,296769,934.0,
2016-05-11,1,2016,,471,5421,6565,471,0.45,0.45,471.0,15712,18070,2016年01月01日至2016年03月31日,15712.0,80626,81097,80626,81097,84352,11986,454063,599753,145690,145690,61338,,,,0.45,0.45,43268,80626,96338,,
2016-08-05,2,2016,,-907,-4740,7198,-907,0.38,,-907.0,15252,19023,2016年第2季,,66944,66037,66944,66037,79738,2458,302958,441711,138753,138753,59015,,,,0.38,,39992,66944,82196,,
2016-11-09,3,2016,,1075,-4415,36543,1075,0.12,,1075.0,2835,18785,2016年第3季,,21310,22385,21310,22385,-7983,32128,258415,302671,44256,44256,52239,,,,0.12,,33454,21310,24145,,
