date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
1927-03-29,4,2015,851.0,44237,1400,18548,21336,0.5,17697.0,1525,,225814,2015年度,70070,88618,70224,88837,81210,-9615,2736607,3273766,537159,537159,455949,20392,1025.0,,0.5,209743,70070,71595,174.0,,3639.0,55252,-154,-219
2013-05-15,1,2013,,-11173,3296,46819,56373,-0.65,,-6279,,59954,2013年01月01日至2013年03月31日,-77032,-30213,-77058,-30413,-56564,-26747,770953,839408,68455,68455,125019,6457,,,-0.65,58608,-77032,-83311,,9554,,18870,26,200
2013-08-12,2,2013,,-13586,2149,-5453,-6578,0.01,,-4593,,67759,2013年04月01日至2013年06月30日,891,-4562,847,-4643,27091,-30793,676531,840024,163493,163493,136402,8673,,,0.01,59970,891,-3702,,-1125.0,,19356,44,81
2013-11-11,3,2013,,-1595,2145,-14434,-17384,-0.44,,8330,-1185.0,68953,2013年07月01日至2013年09月30日,-52836,-67270,-52620,-67025,-19449,-25057,808705,903886,95181,95181,114630,9977,,,-0.44,35700,-52836,-44506,,-2950.0,,24422,-216,-245
2014-03-31,4,2013,,-5480,9150,26721,32636,-3.93,,-12249,,333568,2013年01月01日至2013年12月31日,-467106,-440385,-467274,-440787,-395925,-83430,3052171,3259316,207145,207145,603070,34920,,-490.0,-3.93,234582,-467106,-479355,,5425.0,,87100,168,402
2014-05-12,1,2014,,346309,3,-31645,-38123,1.9,,-7143,,96273,2014年01月01日至2014年03月31日,246629,214984,246657,215027,-92863,332349,569145,624381,55236,55236,148099,7429,,,1.9,44397,246629,239486,,-6478.0,,13963,-28,-43
2014-08-13,2,2014,,-3719,1350,-13610,-16388,-0.22,,14634,,54034,2014年第2季,-28682,-42292,-28680,-42242,4600,-18648,738291,845150,106859,106859,102259,5250,,,-0.22,42975,-28682,-14048,,-2778.0,,16279,-2,-50
2014-11-12,3,2014,,157,487,13488,16242,-0.34,,-2645,0.0,59033,2014年第3季,-44043,-30555,-44039,-30617,-32074,-14614,628527,710003,81476,81476,113550,19048,,,-0.34,35469,-44043,-46688,,2754.0,,15258,-4,62
2015-03-27,4,2014,,307115,3202,4351,555,0.5,,13463,,277582,2014年度,65479,69830,65513,69770,-172184,251126,2546333,2848502,302169,302169,474353,38405,,4667.0,0.5,158366,65479,78942,,871.0,,59191,-34,60
2015-05-13,1,2015,,21034,826,-8393,-10107,0.17,-8393.0,5315,,50444,2015年01月01日至2015年03月31日,23868,15475,23893,15525,21138,8045,663538,787448,123910,123910,102772,4155,,,0.17,48173,23868,29183,,,-1714.0,13815,-25,-50
2015-08-06,2,2015,,27616,828,-22893,-25807,0.22,-22893.0,-882,,48906,2015年第2季,30776,7883,30828,7980,15694,14200,778660,905787,127127,127127,111433,5918,,,0.22,56609,30776,29894,,,-2914.0,14244,-52,-97
2015-11-13,3,2015,,-5990,266,43292,50371,0.01,43292.0,4667,0.0,56155,2015年第3季,1512,44804,1552,44734,27030,-20851,654415,789891,135476,135476,108446,6148,,,0.01,46143,1512,6179,,,7079.0,15127,-40,70
2016-05-12,1,2016,,7782,154,-13917,-16767,0.1,-13917.0,6748,,46717,2016年01月01日至2016年03月31日,15157,1240,15206,1290,26318,-4413,640744,788557,147813,147813,121495,7496,,,0.1,67282,15157,21905,,,-2850.0,12349,-49,-50
2016-08-12,2,2016,,9082,157,1717,2082,0.1,1717.0,7072,,54774,2016年第2季,14793,16510,14829,16614,25016,-3151,788768,939945,151177,151177,126161,21417,,,0.1,49970,14793,21865,,,365.0,12390,-36,-104
2016-11-11,3,2016,,6341,74,-30924,-37242,0.11,-30924.0,6672,,60331,2016年第3季,16440,-14484,16472,-14377,28000,-4888,760512,934118,173606,173606,145606,18873,,,0.11,66402,16440,23112,,,-6318.0,11303,-32,-107
