stock,89年1-9月,稅後純益,89年1-9月,增(減)(%),期末股本,稅後純益,89年1-9月,每股淨值,淨值佔總資產,流動比率,速動比率,公司,,營業收入,89年1-9月,增(減)(%),營業利益,89年1-9月,營業外
11,-496440,-1676530,-497115,-237.25,80140603,-0.21,-0.06,14.655,52.9776,1.15,0.82,11,水泥類,29825983,33833290,-11.84,-1617257,81647,122452
1101,782871,-587566,675219,,26073866,-0.23,0.28,16.8435,44.8168,1.32,1.06,1101,台泥,14401497,13080649,10.1,-437115,49348,-125451
1102,-237615,23318,373686,-93.76,20886864,0.01,0.18,15.6973,63.1927,1.13,0.77,1102,亞泥,7167142,8283390,-13.48,150813,618979,-51666
1103,-472148,-316719,-271805,16.52,6996391,-0.45,-0.39,13.9317,44.4426,1.06,0.9,1103,嘉泥,1651392,2091091,-21.03,31217,161603,-119312
1104,124152,-119658,107198,,3933004,-0.3,0.25,18.2064,59.6606,0.99,0.45,1104,環泥,1632744,2179081,-25.07,-283998,-14244,162556
1107,-507194,-235967,-1163499,-79.72,8409598,-0.28,-1.38,8.7477,50.658,1.07,0.44,1107,建台,1828045,4017167,-54.49,-621762,-748918,339617
1108,-133226,-300821,-192126,56.57,4047380,-0.74,-0.47,9.9866,50.6431,0.65,0.41,1108,幸福,1602371,2115644,-24.26,-322031,-62912,-64626
1109,119842,-51238,156336,,4207140,-0.12,0.37,12.2976,88.3385,3.5,2.79,1109,信大,725193,1065854,-31.96,-60219,80282,5926
1110,-173122,-87879,-182124,-51.75,5586360,-0.16,-0.33,12.9996,76.2883,1.51,0.76,1110,東泥,817599,1000414,-18.27,-74162,-2491,-24592
12,453806,348604,2113425,-83.51,101277384,0.03,0.21,10.785,50.5997,0.97,0.57,12,食品類,96756428,95956540,0.83,2332828,1955853,-1466926
1201,-268016,-207588,48277,,5060629,-0.41,0.1,7.5378,29.3572,0.7,0.5,1201,味全,6974436,7365176,-5.31,191170,310639,-398758
1203,-270182,-95300,-264299,-63.94,2092537,-0.46,-1.26,10.8081,34.679,0.76,0.31,1203,味王,1951485,2492335,-21.7,30465,5883,-125765
1204,-1066,-55255,-14424,283.08,600000,-0.92,-0.24,8.2296,45.3315,1.16,0.72,1204,津津,590911,681271,-13.26,-30201,-13355,-25054
1207,-140346,-1201917,-175805,583.66,12842278,-0.94,-0.14,9.5525,34.2976,0.76,0.21,1207,嘉食化,6666700,7326149,-9,-220524,-103145,-1128261
1210,69091,357538,326129,9.63,4521388,0.79,0.75,12.023,60.2547,1.19,0.78,1210,大成,9968778,9036119,10.32,348567,278328,51882
1212,-237769,-226241,-385933,-41.38,2731664,-0.83,-1.41,5.2524,21.0358,0.52,0.34,1212,中日,4236139,3657171,15.83,-31145,-148164,-195096
1213,19713,8727,23935,-63.54,389963,0.22,0.61,14.5926,77.1064,1.98,1.36,1213,大飲,498611,514965,-3.18,4549,8750,8100
1215,-152851,119094,14447,724.35,2300268,0.52,0.06,11.3854,60.8598,2.02,1.27,1215,卜蜂,8695621,8816508,-1.37,218679,205331,-85877
1216,2048128,1471707,2440983,-39.71,33476572,0.44,0.77,12.0441,58.7052,1.52,1,1216,統一,25633737,24224620,5.82,645220,307069,1017667
1217,-159702,-27406,1549,,3639628,-0.08,<<<<<,9.5899,49.2468,0.98,0.62,1217,愛之味,2279039,2168473,5.1,117339,121067,-154446
1218,-93995,-39099,91530,,3232980,-0.12,0.28,9.8905,48.8105,1.11,0.73,1218,泰山,3227524,3510373,-8.06,108031,234406,-85130
1219,-26445,10483,14894,-29.62,2463300,0.04,0.06,11.1648,69.1471,2.67,1.77,1219,福壽,2988433,3053123,-2.12,62389,35644,-25183
1220,64362,-3598,74273,,1790779,-0.02,0.41,12.0419,73.7348,2.05,1.47,1220,台榮,1449648,1369666,5.84,28553,-6197,-31109
1221,204232,285695,253844,12.55,1760000,1.62,1.61,12.2801,51.7671,1.41,1.04,1221,久津,3256567,1499075,117.24,166411,69612,133284
1222,-195035,-179847,-482872,-62.75,1283054,-1.4,-2.58,2.2566,17.9173,0.06,0.05,1222,源益,282657,698076,-59.51,-78587,-214957,-101091
1224,-256093,-321779,-205929,56.26,949421,-3.39,-2.17,1.6049,9.5665,0.36,0.17,1224,惠勝,2021223,2749909,-26.5,-59173,54040,-191789
1225,-67756,-23667,-16818,40.72,1995418,-0.12,-0.08,10.3856,65.5326,1.11,0.7,1225,福懋油,2450697,2705732,-9.43,60962,49947,-82093
1226,-49064,-239999,-195384,22.83,2320000,-1.03,-0.84,3.9844,27.3437,0.3,0.05,1226,立大,377690,1189909,-68.26,-126903,-75503,-113096
1228,-183216,-43946,-343067,-87.19,648700,-0.68,-3.44,7.4061,35.2489,0.74,0.55,1228,臺芳,675329,500529,34.92,-49043,-159851,5102
1229,628472,115194,675586,-82.95,6612928,0.17,1.04,14.0102,76.8164,1.72,1.18,1229,聯華,1046920,1153719,-9.26,-24222,35734,140265
1230,-454113,-62879,-511424,-87.71,728957,-0.86,-7.02,-7.0624,-149.2758,0.07,0.01,1230,聯成食,72218,345709,-79.11,-17712,-57311,-45167
1231,-2255,92607,93407,-0.86,1154190,0.8,0.83,14.5458,61.3658,1.28,0.55,1231,聯華食,1269901,1243225,2.15,100537,133045,17919
1232,-12029,248514,173489,43.24,1509197,1.65,1.15,13.0196,52.2468,1.07,0.4,1232,大統益,4529389,3951840,14.61,334854,217798,-13989
1233,-5054,45244,55507,-18.49,829045,0.55,0.69,11.3646,73.4524,2.18,1.31,1233,天仁,871187,827630,5.26,80677,82190,-15702
1234,34380,221972,343881,-35.45,5358281,0.41,0.66,14.3643,65.8639,2.11,1.66,1234,黑松,3039007,3194879,-4.88,311784,434501,2538
1235,3714,71639,37647,90.29,373368,1.92,1.01,15.0932,69.3733,3.4,2.64,1235,興泰,871608,731163,19.21,94771,47248,1310
1236,-43299,28711,40002,-28.23,612839,0.47,0.65,12.0773,52.3349,1.1,0.82,1236,宏亞,830973,949196,-12.46,65380,103104,-27387
13,13984530,9251823,32932963,-71.91,168290856,0.55,2.08,17.5834,52.9389,1.2,0.61,13,塑膠類,176736646,186476280,-5.22,8725641,12947666,-2996628
1301,5859490,7470626,11530978,-35.21,42380687,1.76,2.99,21.4073,55.8998,1.5,0.65,1301,臺塑,46281990,39066013,18.47,3031490,3466452,3520364
1303,6934738,7127340,16926457,-57.89,58079248,1.23,3.24,22.0046,53.8126,1.14,0.54,1303,南亞,73373613,81037219,-9.46,6567436,6983651,-1974647
1304,422621,-236185,345723,,7714032,-0.31,0.45,11.1028,60.9504,1.92,0.66,1304,臺聚,3821144,3793032,0.74,-25797,-189598,-199278
1305,-83520,-706340,-296613,138.14,4248035,-1.66,-0.7,10.5463,48.495,1.44,1.01,1305,華夏,4547122,5519039,-17.61,-79807,-335330,-563251
1306,-31938,68836,64039,7.49,483840,1.42,1.48,13.6489,37.0525,1.14,0.61,1306,合發,1258515,1203012,4.61,127036,111747,-28557
1307,9345,34540,42842,-19.38,2069490,0.17,0.21,12.6607,62.2482,2.26,1.44,1307,三芳,2766888,2736454,1.11,125452,38120,-56369
1308,117632,-89275,69560,,2279277,-0.39,0.31,15.314,87.3809,2.83,1.79,1308,亞聚,1840483,1951165,-5.67,-39600,-58041,-53228
1309,66220,-139706,83280,,2626218,-0.53,0.32,14.0888,76.2275,2.02,1.34,1309,臺達化,3040244,3375459,-9.93,-74693,11036,-78725
1310,91267,-328652,946590,,4851510,-0.68,2.05,11.4231,61.1514,0.79,0.4,1310,台苯,3600724,6149641,-41.45,-259066,1146944,-171496
1311,53540,153077,105236,45.46,2594613,0.59,0.41,14.5154,73.9968,2.31,1.36,1311,福聚,5163394,5268317,-1.99,203060,85696,-30683
1312,249910,-1386969,1239664,,6598242,-2.1,1.92,9.9643,41.5428,0.83,0.54,1312,國喬,5418256,7227557,-25.03,-267201,972481,-1301064
1313,162417,-2622,185742,,7017370,(<<<<<),0.27,12.1929,67.1637,2.31,1.32,1313,聯成,2444478,2501925,-2.3,5357,30513,67060
1314,166685,-2698626,1199084,,14828689,-1.82,0.81,10.487,29.5466,0.6,0.35,1314,中石化,10968142,13689275,-19.88,-943016,787717,-1947424
1315,8301,178271,90750,96.44,2415227,0.74,0.38,13.6062,64.4201,2.22,1.74,1315,達新,2369109,2391440,-0.93,151996,109414,42964
1316,46581,-224502,-156978,43.01,1403322,-1.6,-1.12,5.9381,52.2863,0.52,0.24,1316,上曜,599350,841050,-28.74,-25921,-203559,-37259
1317,-41274,-119605,262137,,520875,-2.3,5.03,-2.1796,-5.078,0.44,0.2,1317,尚鋒,769507,793798,-3.06,-51650,-38397,-67955
1319,-167924,217755,-82136,,3883230,0.56,-0.21,11.6528,51.5831,0.95,0.72,1319,東陽,4086061,4117457,-0.76,315888,95273,-65622
1321,-25903,-148969,-130241,14.38,2080845,-0.72,-0.63,11.9724,60.8539,1.45,0.7,1321,大洋,2821032,3042993,-7.29,-62172,-148695,-117195
1323,2995,23015,25520,-9.82,693933,0.33,0.36,12.1264,73.325,1.92,1.36,1323,永裕,631729,730475,-13.52,16602,29392,13859
1324,18066,54136,321949,-83.18,625773,0.87,6.17,14.7234,78.2508,3.38,2.94,1324,地球,685439,699196,-1.97,4206,225,41761
1325,125281,5678,159380,-96.44,896400,0.06,1.98,12.2216,69.509,12.87,5.87,1325,恒大,249426,341763,-27.02,6041,52625,10117
14,-2207704,-9445754,6616029,,304390579,-0.31,0.22,11.8572,48.8417,0.84,0.29,14,紡織纖維類,229052422,246132241,-6.94,3022147,4353026,-11268915
1402,809454,400124,532053,-24.8,32035232,0.12,0.17,15.6661,50.368,0.94,0.42,1402,遠紡,24386729,24294238,0.38,164,-277401,399960
1407,-533064,-4517548,-902757,400.42,24345602,-1.86,-0.37,6.5457,33.9153,0.32,0.1,1407,華隆,15398985,19700148,-21.83,-813006,-566803,-3727119
1408,-579098,-1719787,-914566,88.04,9084506,-1.89,-1.01,7.0997,29.7066,0.54,0.12,1408,中紡,6700922,7478773,-10.4,-775326,-335468,-944461
1409,-88903,-330592,-518322,-36.22,13253409,-0.25,-0.39,8.1266,47.5241,0.66,0.3,1409,新纖,9430874,10199241,-7.53,-78017,-508841,-204315
1410,-50816,-83417,-77485,7.66,900000,-0.93,-0.86,10.6453,83.7581,3.14,2.7,1410,南染,290454,446419,-34.94,-64330,-53266,-36247
1413,-53028,-302087,-319748,-5.52,2836457,-1.06,-1.13,8.4041,52.5366,0.67,0.21,1413,宏洲,2177956,2592850,-16,-307182,-313218,-48989
1414,-217947,-415287,-450763,-7.87,3515775,-1.18,-1.28,5.9096,30.6074,0.41,0.21,1414,東和,2524759,2551046,-1.03,-244760,-244574,-165003
1416,-373514,-465163,-454466,2.35,5497834,-0.85,-0.82,10.0142,53.1202,0.91,0.31,1416,廣豐,1816360,1902508,-4.53,-96431,-115400,-326130
1417,91717,100157,39935,150.8,4157493,0.24,0.1,11.1988,68.0897,1.15,0.64,1417,嘉裕,1424871,1576341,-9.61,-31113,-44814,132034
1418,440228,-475616,355425,,2638553,-1.8,1.35,8.728,65.3142,1.17,0.75,1418,東華,1507936,1587098,-4.99,-300691,-90745,-189404
1419,-136787,-178699,-134622,32.74,2904000,-0.62,-0.46,11.0088,45.2137,0.35,0.29,1419,新紡,588557,673906,-12.66,-62458,3230,-118486
1420,-563514,1335740,-585448,,7880511,1.7,-0.74,10.6725,38.7013,0.68,0.13,1420,潤泰,6975071,7482367,-6.78,273689,-55091,1112843
1422,-289983,-321487,-270230,18.97,1800000,-1.79,-1.5,4.6602,18.1699,0.96,0.03,1422,民興,309740,1236120,-74.94,-39970,19753,-286285
1423,-3330,121286,38331,216.42,1793000,0.68,0.21,12.842,74.5844,4.75,1.96,1423,利華,1987728,1699280,16.97,140137,53528,22950
1431,-676180,-689919,-887647,-22.28,2789250,-2.47,-3.18,0.6363,1.6211,0.53,0.04,1431,新燕,660303,927391,-28.8,-198722,-211463,-491197
1432,-135698,-138701,-159240,-12.9,2077654,-0.67,-0.77,5.5568,23.3608,0.82,0.16,1432,大魯閣,1236337,1469736,-15.88,16115,-22170,-154816
1433,880814,4087394,8901089,-54.08,39439172,1.04,2.44,22.3298,49.7923,1.05,0.32,1433,臺化,51528820,47579547,8.3,3305443,3793545,781951
1434,370172,656567,1908170,-65.59,14819801,0.44,1.36,11.9058,57.0317,2.03,1.12,1434,褔懋,12224987,12928946,-5.44,1399377,1680829,-635113
1435,-33296,-35152,-43980,-20.07,1397801,-0.25,-0.31,10.7259,72.5916,0.94,0.29,1435,中褔,226323,408844,-44.64,-67949,-19591,27261
1436,-18584,124637,-206517,,3000000,0.42,-0.65,11.8689,64.1608,2.02,0.24,1436,褔益,144838,340017,-57.4,-151501,-189003,276138
1437,17016,-135196,-20267,567.07,1572008,-0.86,-0.13,12.7394,64.6543,1.27,0.59,1437,勤益,525675,469422,11.98,-94363,-69574,-33197
1438,-337991,-115836,-396019,-70.75,1024115,-1.13,-3.87,4.6656,27.4922,0.51,0.08,1438,裕豐,362277,355431,1.93,-91088,-58028,-24748
1439,30173,104360,31110,235.45,1085400,0.96,0.29,12.8392,64.4094,4.02,1.92,1439,中和,955666,1059902,-9.83,66173,5381,53447
1440,320171,-487012,43849,,15013380,-0.32,0.03,12.1245,60.7947,1.51,0.4,1440,南紡,7339841,7775978,-5.61,-410563,-265833,192040
1441,-69950,-286800,-63293,353.13,1625006,-1.76,-0.37,10.1519,44.0201,1.04,0.35,1441,大東,1387622,1682301,-17.52,-150589,13802,-121508
1442,-534195,-160991,-545099,-70.47,995790,-1.62,-2.74,11.4256,51.8694,1.51,0.15,1442,達永興,373040,2252431,-83.44,-13372,-37884,-152787
1443,-70061,-168871,-112080,50.67,3010900,-0.56,-0.37,9.925,67.7233,0.63,0.28,1443,立益,534349,351605,51.97,-57818,-11232,-58766
1444,-198458,-402211,-316432,27.11,7314000,-0.55,-0.39,10.0439,61.3707,0.74,0.45,1444,力麗,4075475,4562819,-10.68,62218,-117974,-364429
1445,2068,34620,28277,22.43,1780010,0.19,0.14,12.2974,62.2398,1.77,1.04,1445,大宇,1973282,1919455,2.8,95247,19552,2897
1446,-4291,3442,-43750,,3338158,0.01,-0.13,13.4897,63.1181,1.06,0.43,1446,宏和,3066743,5707488,-46.27,37332,-39501,-33890
1447,-195757,-49274,-23141,112.93,5706875,-0.09,-0.04,11.2627,51.6946,1.1,0.59,1447,力鵬,6626897,6361554,4.17,200261,79116,-249535
1449,53861,-31164,143134,,6668541,-0.05,0.21,7.9203,47.3432,0.85,0.27,1449,佳和,3537753,3895062,-9.17,233938,87499,-234268
1450,-34219,-203388,62471,,2821132,-0.72,0.22,11.6046,52.2906,0.46,0.22,1450,新藝,1349435,1277828,5.6,-119281,79793,-84107
1451,432728,1281594,1211677,5.77,5983691,2.14,2.43,14.5316,78.6294,1.54,0.86,1451,年興,4798008,4488862,6.89,1050522,1028580,500256
1452,-38266,68933,-57205,,1892900,0.36,-0.3,9.4227,74.4218,1.72,1.34,1452,宏益,1324750,1357467,-2.41,37470,-31808,51540
1453,-69778,41751,-89027,,1493884,0.28,-0.6,8.0721,45.4243,1.09,0.44,1453,大將,1803291,457680,294.01,-20507,-34797,60646
1454,17733,29651,75839,-60.9,1621291,0.18,0.48,11.0368,61.6916,1.18,0.55,1454,台富,2135367,2106139,1.39,161427,72455,-81776
1455,-25986,100151,104798,-4.43,4060224,0.25,0.26,12.3319,62.8852,1.02,0.6,1455,集盛,3826737,2784861,37.41,54136,-36222,33625
1456,287618,-198715,256167,,3872830,-0.51,0.66,5.7504,30.1954,0.91,0.36,1456,怡華,2719738,3111050,-12.58,-61735,-8452,-108242
1457,276413,65338,203730,-67.93,3723200,0.18,0.53,11.191,50.5304,0.5,0.28,1457,宜進,2580040,2722171,-5.22,49811,-49694,32831
1458,-337009,-1097128,-354742,209.27,5650000,-1.94,-0.63,5.8308,42.1873,0.36,0.23,1458,嘉畜,1748985,2836744,-38.35,-96508,-17733,-1000620
1459,-130452,80579,15850,408.38,3533776,0.23,0.04,11.9742,65.7895,1.68,0.99,1459,聯發,1921559,1961318,-2.03,94035,170654,-21248
1460,5929,260639,57364,354.36,4780555,0.55,0.11,12.9442,68.1868,1.39,0.29,1460,宏遠,4434697,6012042,-26.24,156121,60311,119864
1462,-67122,-5719580,125122,,22224139,-2.57,0.06,7.5736,35.9584,0.68,0.05,1462,東雲,7558521,10171941,-25.69,-712022,-2172,-5073695
1463,20901,-26687,122064,,2060578,-0.13,0.61,10.6742,83.1163,1.46,0.79,1463,強盛,899801,1318580,-31.76,-41817,125823,3389
1464,-72788,118976,12587,845.23,2396194,0.5,0.05,6.5799,49.0619,0.68,0.29,1464,得力,2007202,2495645,-19.57,172439,89528,-46616
1465,19984,118545,104761,13.16,1073609,1.1,0.92,16.3005,82.2253,3.7,2.8,1465,偉全,1595633,1637502,-2.56,128524,116102,24668
1466,-133438,-301148,-348333,-13.55,1687387,-1.78,-1.31,5.0324,28.4914,0.26,0.06,1466,聚隆,1338084,1660487,-19.42,-201171,-209980,-129750
1467,-80692,33495,11792,184.05,987360,0.34,0.12,13.0208,48.2382,0.81,0.58,1467,南緯,1547887,2237094,-30.81,106631,109484,-57252
1468,-19026,43496,75201,-42.16,1604053,0.27,0.51,12.2894,71.4268,1.96,1.04,1468,昶和,919291,1215830,-24.39,48051,108778,1196
1469,-86602,17263,-7606,,1246000,0.14,-0.07,16.0353,70.5263,0.97,0.44,1469,理隆,797841,805083,-0.9,47472,88655,-23857
1470,-31220,-40640,-19650,106.82,857670,-0.47,-0.23,9.7237,69.6447,1.18,0.88,1470,大統染,555149,627397,-11.52,-23596,1031,-14895
1471,-102931,-9583,-34283,-72.05,1171280,-0.08,-0.29,11.1787,44.0533,1.04,0.78,1471,首利,2056546,2065083,-0.41,40611,58448,-45194
1472,-12569,-13702,-9796,39.87,690000,-0.2,-0.14,15.4565,80.638,1.89,1.02,1472,三洋纖,796059,630591,26.24,-8743,-4227,-4659
1473,215584,370199,321604,15.11,1160902,3.19,3.39,22.9223,74.9228,1.38,0.8,1473,台南,2841174,2538313,11.93,154521,203977,280174
1474,1284,85588,92698,-7.67,608862,1.41,1.52,14.9175,54.1849,1.76,1.11,1474,弘裕,2020161,1989504,1.54,103414,113193,10122
1475,-76716,-69173,16539,,976721,-0.71,0.17,9.1205,40.591,1.02,0.24,1475,本盟,1017493,1571107,-35.24,8405,80052,-68983
1476,-18293,60275,90906,-33.7,912108,0.66,1,13.6745,53.8614,1.2,0.56,1476,儒鴻,2157803,2583658,-16.48,113092,132886,-27160
15,-361861,4632214,4755753,-2.6,70865207,0.65,0.71,14.8624,54.6085,1.41,0.78,15,電機機械類,72189977,77415843,-6.75,4107197,6064954,1222577
1503,-129062,278497,449294,-38.01,5209722,0.53,0.9,17.1642,56.1112,1.34,0.8,1503,士電,7048226,7510396,-6.15,482198,690800,-166205
1504,364075,380208,848052,-55.17,19571203,0.19,0.47,16.6983,56.9502,1.49,1.02,1504,東元,16247342,15438479,5.24,34857,611303,345351
1506,-39576,-1508,4960,,1022516,-0.01,0.05,11.2278,41.3093,0.5,0.21,1506,正道,535173,636288,-15.89,29038,32505,-39342
1507,73981,254627,288996,-11.89,4108200,0.62,0.7,17.1581,76.879,2.67,1.84,1507,永大,2128037,2686509,-20.79,191993,274320,77220
1510,-103191,-28407,75444,,2280434,-0.12,0.34,13.6883,39.3651,1.62,0.63,1510,台安,4025713,4333896,-7.11,86272,169927,-110957
1512,-144320,17081,-69895,,1765073,0.1,-0.4,11.2219,52.3443,0.81,0.41,1512,瑞利,1773644,2000178,-11.33,34958,84197,-11414
1513,-264446,416090,879565,-52.69,6233040,0.67,1.41,13.1302,46.9797,1.61,0.26,1513,中興電,6709033,7707103,-12.95,530656,1194879,-54232
1514,-21728,104439,177872,-41.28,1982174,0.53,0.9,12.2753,57.7014,1.75,1.05,1514,亞力,2226418,2409859,-7.61,184440,256352,-42636
1515,-150381,-64508,72963,,2497131,-0.26,0.31,11.5778,42.9392,1.4,1.06,1515,力山,2492197,3814593,-34.67,86861,283021,-144837
1516,12097,-93987,6513,,1542362,-0.61,0.04,8.4041,57.3813,1.13,0.62,1516,川飛,638335,849802,-24.88,10346,-5865,-106558
1517,-238385,-130087,-298300,-56.39,2312673,-0.56,-1.29,10.7298,89.7593,6.7,5.38,1517,利奇,1021655,1660540,-38.47,-160870,-77180,-12463
1518,-64776,-21980,7090,,1847421,-0.12,0.04,11.3433,66.5102,1.65,0.43,1518,夆典,2045433,1412042,44.86,39644,100732,-70639
1519,-3908,93114,226891,-58.96,2195604,0.42,1.14,10.7166,54.8587,1.2,0.87,1519,華城,1539770,2226265,-30.84,98891,265247,-6590
1520,263598,2032460,675193,201.02,3562872,5.7,2.45,18.9926,58.8693,1.17,0.86,1520,復盛,3694472,2898167,27.48,897187,516307,1384208
1521,-28778,30368,115811,-73.78,762300,0.4,1.52,13.3823,46.748,1.44,0.92,1521,大億,1479578,1811843,-18.34,15980,161770,5957
1522,-42703,214673,-16564,,1696484,1.27,-0.1,19.5767,46.9347,1.01,0.75,1522,堤維西,3259339,2822256,15.49,229023,25853,39366
1523,3208,103260,-75432,,1449349,0.71,-0.52,14.2671,46.247,0.69,0.51,1523,開億,2375143,2094062,13.42,141490,-98674,-11052
1524,-3591,53462,15575,243.26,1052670,0.51,0.16,12.5658,49.8951,0.83,0.52,1524,耿鼎,1094666,840974,30.17,83194,7511,-12018
1525,12584,29682,50808,-41.58,410571,0.72,1.24,19.7578,75.6726,3.52,2.53,1525,江申,527091,682003,-22.71,9847,48224,16835
1526,-15462,-87685,-17343,405.59,787971,-1.11,-0.22,10.6714,53.5363,0.96,0.41,1526,日馳,481846,634681,-24.08,-73864,-13210,-28862
1527,24637,421499,353349,19.29,1297750,3.25,3.28,14.6729,63.5784,3.15,2.71,1527,鑽全,1477947,1442839,2.43,507631,439560,42307
1528,-18825,15772,97230,-83.78,800000,0.2,1.35,14.0682,49.6105,1.62,1.02,1528,恩德,1432939,1712849,-16.34,89288,141393,-72337
1529,4736,-12770,45757,,713083,-0.18,0.82,11.4761,54.5128,1.56,0.7,1529,樂士,639992,893112,-28.34,3001,51368,-14218
1530,6317,14557,18285,-20.39,476011,0.31,0.39,11.0696,77.5854,3.98,2,1530,亞崴,296590,355890,-16.66,16386,16129,3486
1531,27293,236698,289057,-18.11,1199121,1.97,2.67,19.1324,77.5254,3.69,1.98,1531,高林股,1823373,2093470,-12.9,206733,354515,78555
1532,187501,92318,211689,-56.39,1118549,0.83,2.01,15.6267,65.6257,1.08,0.73,1532,勤美,1465734,1435098,2.13,-4578,34788,94639
1533,-55137,204764,137256,49.18,757560,2.7,2.14,17.8585,48.2639,1.28,0.54,1533,車王電,1243100,1391780,-10.68,206984,237750,58098
1534,-30162,7571,74898,-89.89,888977,0.09,1.32,12.9927,31.8703,1,0.28,1534,新企,872113,1616780,-46.06,27485,121595,-25568
